2017 rank.[5],Country,Science andTechnology.,Culture andCivilisation.,InternationalPeace and Security.,Police andWorld Order.,Planet andClimate.,Prosperityand Equality.,Health andWell-being.
86,Burkina Faso,92,124,46,66,148,30,125
87,Colombia,78,118,15,121,88,119,98
88,Namibia,66,42,89,106,103,136,96
89,Azerbaijan,129,139,42,132,29,86,89
90,Kyrgyzstan,80,76,121,66,159,60,86
91,Grenada,22,50,62,152,77,155,133
92,Brunei,125,79,8,163,49,158,68
93,Senegal,69,87,43,100,139,59,160
94,Seychelles,89,49,150,60,100,101,120
95,Peru,102,90,97,95,80,96,113
96,Dominica,51,73,137,116,81,104,111
97,Mongolia,131,96,28,141,118,33,130
98,Cameroon,101,144,13,90,105,150,74
99,Bolivia,161,98,45,46,136,106,85
100,Indonesia,160,88,7,62,144,133,84
101,Zambia,154,149,57,55,64,121,82
102,Rwanda,118,161,29,144,36,54,141
103,Togo,111,117,38,133,161,16,148
104,Ghana,63,104,66,93,121,107,139
105,Tanzania,156,121,12,85,76,143,101
106,Saudi Arabia,81,136,141,117,122,85,15
107,Bangladesh,130,130,87,59,130,132,32
108,Kazakhstan,116,131,20,110,123,131,72
109,El Salvador,121,99,134,147,102,58,42
110,Trinidad and Tobago,93,71,116,136,111,28,152
111,Marshall Islands,43,40,162,149,129,41,144
112,Eswatini,104,112,156,125,47,55,117
113,Jamaica,77,86,74,86,101,146,147
114,Zimbabwe,98,112,70,151,145,26,107
115,Algeria,113,138,22,79,48,160,159
116,Antigua and Barbuda,91,74,103,131,68,139,124
117,Cape Verde,103,84,138,108,28,115,154
118,Botswana,133,72,112,75,110,90,145
119,Malawi,94,142,60,69,146,111,116
120,Madagascar,106,97,25,126,153,103,136
121,Bahamas,114,52,94,148,59,127,155
122,Honduras,136,120,88,122,158,64,62
123,Pakistan,88,150,92,129,134,123,38
124,Paraguay,155,140,30,82,127,154,69
125,Saint Vincent and the Grenadines,97,43,142,124,38,144,162
126,Nigeria,142,146,5,137,61,122,150
127,Lesotho,148,108,102,118,124,67,100
128,Vietnam,128,102,59,158,141,88,99
129,Saint Lucia,54,24,139,157,126,125,151
130,Burundi,71,160,125,150,107,92,74
131,Iran,90,157,83,68,117,148,118
132,Guinea,96,132,122,123,156,94,60
133,Liberia,79,153,154,38,160,128,71
134,Laos,100,145,105,159,41,112,123
135,Guyana,158,68,75,154,116,118,97
136,Niger,120,128,101,88,157,51,143
137,Bahrain,115,105,159,77,82,157,93
138,Tonga,85,70,161,162,84,79,149
139,Haiti,132,92,144,140,119,53,115
140,Republic of the Congo,144,137,68,124,74,120,137
141,Guinea-Bissau,57,151,163,73,152,91,121
142,Suriname,134,80,114,105,95,151,132
143,Benin,87,143,117,127,162,66,109
144,Sierra Leone,152,129,151,83,114,129,161
145,Cambodia,153,89,86,138,151,138,65
146,Mozambique,147,127,106,65,133,93,153
147,Gabon,151,158,81,96,58,152,128
148,Ivory Coast,126,116,120,156,92,95,129
149,Democratic Republic of the Congo,138,162,91,155,106,63,127
150,Belize,112,36,143,113,147,141,158
151,Central African Republic,58,159,148,146,142,89,108
152,Venezuela,149,154,118,91,85,156,104
153,Papua New Guinea,137,94,130,98,93,161,157
154,Equatorial Guinea,157,147,111,160,52,163,102
155,Syria,140,152,131,142,104,147,88
156,Angola,163,148,119,153,44,117,163
157,Mali,143,124,155,139,143,57,142
158,Mauritania,141,56,95,143,163,158,161
159,Chad,124,135,127,145,131,126,140
160,Yemen,108,155,157,128,125,137,119
161,Iraq,162,156,158,115,87,153,135
162,Libya,150,163,145,112,154,97,156
163,Afghanistan,159,115,152,135,155,140,131
